exercise_name,target_tissue,type,sets,reps,hold_time,tempo,load,frequency,rest,progression,regeneration_evidence,mechanism,success_rate,population,contraindications,flare_protocol,citation,language,evidence_grade
Five Point Support (五点支撑法),Thoracolumbar multifidus + adjacent ligaments,Isometric,3,10,3-5 sec,N/A,Bodyweight,4x/day,N/A,Progress to three-point support,"NO ligament evidence - muscle CSA increased +52-56% at L4-L5, pain reduction, functional improvement only",Multifidus provides 2/3 spinal stability through muscle compensation,Not reported for ligament regeneration,General lumbar instability,Avoid in acute inflammation,N/A,Chinese Rehabilitation Expert Consensus,Chinese,Muscle: A; Ligament: Absent
Bird Dog - Abduction Position (对角上肢下肢外展),Lumbar multifidus (NOT ligaments),Isometric,3,10,30 sec hold,5 sec extend / 5 sec flex,Bodyweight - NO WEIGHTS,5x/week,N/A,Increase hold time not load,"NO ligament evidence - multifidus/erector spinae ratio maximized at 90° shoulder + 45° hip abduction, A-A position most effective. Weight loading COUNTERPRODUCTIVE (increases erector dominance, reduces selectivity)",Deep multifidus activation for segmental stability - muscle compensation only,Not reported,General population + lumbar instability,Do NOT add weights (reduces selectivity),N/A,"Japan Physical Therapy Academic Conference 2011, Horikiri & Sasaki 2008",Japanese,B
Plank (平板支撑),Core stabilizers (transverse abdominis + multifidus),Isometric,4,N/A,60 sec,N/A,Bodyweight,1-2x/day,N/A,Increase duration to 90-120 sec,NO ligament evidence - improves core stability through muscle activation,Increases intra-abdominal pressure and spinal stiffness,Not reported,General + hypermobility,None specified,N/A,Chinese sources,Chinese,B
Side Plank (侧桥),Quadratus lumborum + obliques,Isometric,3 each side,N/A,30 sec,N/A,Bodyweight,Daily,N/A,Increase to 45-60 sec,NO ligament evidence - lateral stability through muscle,Lateral chain activation,Not reported,General,None,N/A,Chinese sources,Chinese,B
Bridge (臀桥),Gluteus + core integration,Isometric,3,15-20,10 sec hold,N/A,Bodyweight,Daily,N/A,Single-leg progression,NO ligament evidence,Posterior chain + core co-contraction,Not reported,General,None,N/A,Chinese sources,Chinese,B
Standing Pole (站桩功 / Zhan Zhuang),Spinal ligaments (theoretical) + deep core,Isometric,1-2x/day,N/A,30-60 min,N/A,Bodyweight,Daily,N/A,Increase duration from 5-10 min → 30-60 min,"NO ligament evidence in Chinese literature - claims ""continuous stress on tendons/ligaments activates fibroblast proliferation"" but no imaging/measurement provided",Theoretical: sustained isometric load triggers collagen synthesis; Reality: deep muscle activation,Not reported,Traditional practice,Blood vessel type EDS (COL3A1) - strictly contraindicated for vigorous exercise,N/A,Chinese Qigong sources,Chinese,Mechanism: C; Evidence: Absent
Baduanjin - Section 6 (八段锦第六式: 两手攀足固肾腰),Spinal posterior ligaments (claimed),Dynamic stretching,N/A,9-12 reps per session,N/A,Slow controlled,Bodyweight,3-5x/week,N/A,Increase reps from 3-6 → 9-12,"Claimed: 12 weeks training increased lumbar ROM 15-20% (Guangxi University of Chinese Medicine). NO ligament CSA/thickness measurements, NO structural imaging. Ultrasound showed neck/shoulder ligament thickness +3-5% but methodology unclear.",Traditional: I型胶原蛋白合成; Reality: ROM improvement likely from muscle/fascia not ligament hypertrophy,ROM improvement significant (p<0.05) at 8 weeks,General population,Hypermobile individuals - risk of overstretching already lax ligaments,Reduce ROM if pain,Liaoning University of TCM / Guangxi University,Chinese,C-D
Tai Chi (太极拳),Full body integration + ligaments (claimed),Dynamic slow eccentric,N/A,Full form,15-30 sec per movement,Slow controlled,Bodyweight,3-5x/week,N/A,Increase form complexity,"10 weeks training: pain relief superior to conventional treatment, proprioception scores improved 25% (p<0.01). NO objective laxity measurements, NO ligament imaging. Claims ""activates fibroblast FAK/ERK pathway"" but no direct evidence in humans.",Slow eccentric contractions (15-30 sec) theoretically stimulate fibroblast activity,Pain relief + proprioception improvement,Elderly + high baseline inflammation,None specified,N/A,Chinese clinical studies,Chinese,Functional: B; Structural: Absent
Yijinjing (易筋经),Myofascial chains + ligaments (claimed),Dynamic,N/A,12 postures,N/A,Controlled,Bodyweight,3-5x/week,N/A,Increase duration 30-45 min,"12 weeks training: spinal ROM +18%, muscle strength and flexibility optimal at 9 months, low back pain incidence -60%, IL-6 and TNF-α decreased. NO ligament measurements.",Myofascial chain integration,18% ROM increase in 12 weeks,General,None,N/A,Chinese sources,Chinese,C
Wrist Eccentric Flexion,Wrist flexors + TFCC (indirect),Eccentric,3-4,8-12,N/A,1 sec concentric / 3-4 sec eccentric,Progressive dumbbells,2-3x/week,48-72 hours,Add 1kg when pain <3/10 for 1 week,"NO direct TFCC regeneration evidence - improves grip strength, increases muscle CSA. Claims ""promotes tendon collagen synthesis and realignment"" but for TENDONS not ligaments. TFCC central zone 80% avascular with extremely limited healing potential.",Eccentric loading increases fibroblast activity and collagen synthesis in tendons (NOT ligaments proven),Conservative TFCC treatment fails 30-40% ultimately requiring surgery,Post-TFCC injury conservative,Acute phase (0-4 weeks),Ice + reduce load,Chinese hand therapy sources,Chinese,Tendon: B; Ligament: Absent
Grip Strength Training (握力训练),Forearm muscles + wrist stabilization,Concentric/Eccentric,3,30-50,N/A,2 sec up / 2 sec down,Grip dynamometer,Daily,1-2 min between sets,Increase resistance when easy,"NO ligament regeneration evidence - strengthens muscles for dynamic wrist stabilization. Study showed grip 27kg → 35kg over 4 weeks, but this is MUSCLE not ligament. Claims ""increases overall wrist joint stability"" through muscular support.",Forearm muscle hypertrophy provides dynamic joint stabilization,Not reported for ligament outcomes,Post-wrist injury,None,Reduce if sharp pain,Chinese rehabilitation,Chinese,Muscle: A; Ligament: Absent
Radial Deviation Against Resistance (桡偏抗阻),Prevent ulnar deviation + TFCC impingement,Concentric,3-5,20,N/A,2 sec,Elastic band,Daily,1-2 min,Increase band resistance,"NO ligament evidence - trains muscles to prevent excessive ulnar deviation that causes TFCC impingement. Purely preventive muscular strategy, not regenerative.",Prevents pathological movement through muscle strength,Not reported,TFCC protection,None,N/A,Chinese sources,Chinese,B
Wrist Extension Against Resistance (抗阻背伸),Wrist extensors,Concentric,3,20,N/A,2 sec,Dumbbell,3x/week,2 min,Progressive load,"NO ligament evidence, muscle training only",Wrist extensor strengthening,Not reported,General wrist rehabilitation,None,N/A,Chinese sources,Chinese,B
