type,composition,concentration,preparation,sites,injections_per_session,frequency,total_sessions,success_rate,outcome_measure,population,timeline_initial,timeline_max,duration,citation,language,evidence_grade
Prolotherapy,Dextrose + Lidocaine,15%,Standard mixing,Wrist ligaments (SL/LT/TFCC),20-30,Every 3-4 weeks,3.6 average,90%,≥50% pain relief,Post-surgical instability,6-12 weeks,3-6 months,Variable,Hackett-Hemwall wrist study,English,B
Prolotherapy,Dextrose + Lidocaine,20-25%,Standard mixing,Hypermobile TMJ,Single injection area,Single session or repeat,1-3,91.3%,Prevent dislocation,Hypermobile TMJ,Immediate,1-3 months,Long-term,TMJ hypermobility study,English,B
Prolotherapy,Dextrose + Lidocaine,12.5-15%,Standard mixing,General ligament laxity,10-15 per area,Every 4 weeks,4-6,80-85%,Pain reduction + function,General population,4-6 weeks,3-6 months,6-12 months,Multiple RCTs,English,A-B
Prolotherapy,Dextrose + Lidocaine,25%,Higher concentration,Severe hypermobility,Multiple sites,More frequent initially,6-8,Variable,Stability improvement,Hypermobile patients,2-4 weeks,6-12 months,Requires maintenance,Hauser hypermobility series,English,C
PRP,LP-PRP (leukocyte-poor),4-6x baseline concentration,Double-spin 336% concentration Non-activated,Wrist ligaments,3-6cc per wrist,Every 3 weeks,4-6,Variable,Pain + stability,Post-surgical instability,2-6 weeks,4-6 months,6-12 months,Greenberg wrist protocol,English,C
PRP,LP-PRP,4-6x baseline,Double-spin Non-activated,Sacroiliac joint,3mL + 0.5mL CaCl2,Single or 1-2,1-2,90%,Pain-free at 3 months,SI joint dysfunction,2-4 weeks,3 months,6-12 months,SI joint RCT,English,A
PRP,L-PRP (leukocyte-rich),3-5x baseline,Standard centrifugation,Facet joints,3-5mL per level,Every 4-6 weeks,2-3,86%,≥70% improvement at 1 year,Facet syndrome,1-4 weeks,1 year,Superior to steroids long-term,Facet joint study,English,B
PRP,LR-PRP,Standard concentration,Needle tenotomy technique,Interspinous ligaments,1.5-3.5mL per level,Every 4-6 weeks,2-3,70-100%,Pain relief at 6 months,Spinal instability,2-4 weeks,6 months,Variable,Interspinous ligament series,English,C
PRP,LP-PRP,3-6x concentration,ACP single-spin system,General ligaments/tendons,2-4mL per site,Every 3-4 weeks,2-4,60-70%,Pain + function improvement,General population,4-12 weeks,3-6 months,6-12 months,Multiple case series,English,B-C
BPC-157,Peptide solution,200-300 mcg,Subcutaneous injection,Near injury site,Single injection,Daily,28-42 days (4-6 weeks),Unknown in humans,Theoretical healing acceleration,Experimental,Variable,Unknown,Unknown,Single 12-patient study,English,D (Very Low)
