intervention_name,category,type,evidence_grade,dosage,timing,form,genetic_relevance,mechanism,success_rate,population,synergies,contraindications,cost_estimate,accessibility,clinical_notes,citation_summary,languages_supporting
Hydroxocobalamin B12,nutrition,vitamin,B,1000 mcg IM weekly,"Weekly x8-12 weeks, then monthly maintenance",Injectable,TCN2/MTHFR,Bypasses TCN2 transport defect; converts to methylcobalamin and adenosylcobalamin,Not quantified,TCN2 homozygous,Methylfolate + Riboflavin + P5P + Betaine,None major,$$,Moderate (requires prescription),MANDATORY for TCN2 homozygous - oral insufficient,French/German clinical protocols,8/8
Methylcobalamin B12,nutrition,vitamin,B,1000-2000 mcg daily,Daily sublingual,Sublingual,TCN2/MTHFR,Active B12 form for methylation cycle; remethylates homocysteine,Not quantified,TCN2/MTHFR variants,Methylfolate + Riboflavin + Injectable B12,None major,$,Easy,Adjuvant to injectable B12 for TCN2,Korean/Portuguese/Japanese protocols,8/8
Methylfolate (5-MTHF),nutrition,vitamin,A,800-2000 mcg daily,Morning with food,L-5-MTHF or Quatrefolic,MTHFR C677T/A1298C,Bypasses MTHFR completely; reduces homocysteine; reduces MMP-2 overexpression,85% hEDS have MTHFR variants,MTHFR variants,B12 + Riboflavin + P5P + Betaine,AVOID synthetic folic acid,$,Easy,Tulane 2024: 85% hEDS have MTHFR; reduces MMP-2,All languages with RCTs,8/8
Riboflavin (B2),nutrition,vitamin,A,50-100 mg daily,Morning with food,Riboflavin-5-phosphate or standard,MTHFR variants,Cofactor for MTHFR enzyme; reduces homocysteine 22%,22% homocysteine reduction,MTHFR 677TT,Methylfolate + B12 + P5P,None major,$,Easy,German/Chinese clinical studies,All languages,8/8
Pyridoxal-5-Phosphate (P5P),nutrition,vitamin,B,25-100 mg daily,Morning or split doses,P5P (active B6),NBPF3/MTHFR,Cofactor for transsulfuration; supports collagen disulfide bonds,Not quantified,MTHFR/NBPF3 variants,Methylfolate + B12 + Riboflavin,None major,$,Easy,French/Portuguese protocols,All languages,8/8
Betaine/TMG,nutrition,supplement,A,500-1500 mg daily,Morning or split doses,Trimethylglycine,MTHFR/TCN2/PEMT,Alternative methyl donor via BHMT pathway (bypasses MTHFR),Not quantified,MTHFR variants,Methylfolate + B12 methylation pathway,None major,$,Easy,All medical sources,All languages,8/8
Selenium,nutrition,mineral,A,150-200 mcg daily,Morning with food,Selenomethionine or Brazil nuts,GPX1 homozygous,Essential cofactor for GPx1 enzyme; saturation at 70-120 ng/mL,Not quantified,GPX1 variants,NAC + Vitamin E + ALA (antioxidant network),Toxicity >400 mcg/day; monitor levels,$,Easy,Norwegian/Danish/Korean intervention studies,All languages,8/8
N-Acetylcysteine (NAC),nutrition,supplement,A,600-1800 mg daily,Split doses away from meals,NAC powder or capsules,GPX1 homozygous,Precursor to glutathione synthesis (rate-limiting cysteine),Not quantified,GPX1 variants,Selenium + Glycine + Vitamin C + ALA,Avoid with nitroglycerin,$$,Easy,Meta-analysis 46 RCTs; Korean/Brazilian protocols,All languages,8/8
Vitamin C,nutrition,vitamin,A,500-1000 mg daily (MAX 2000mg with GPX1),Split doses with meals,Ascorbic acid or liposomal,GPX1 (dose caution),Cofactor for prolyl/lysyl hydroxylase; hydroxylates proline/lysine,Not quantified,All; GPX1 requires lower doses,Lysine + Proline + NAC + Vitamin E,>2000mg with GPX1 = pro-oxidant; avoid IV megadose with GPX1,$,Easy,Dembure 1987 EDS Type VI; RCTs; Spanish/German/Japanese warnings,All languages,8/8
Glycine,nutrition,amino acid,A,10 g daily,"5g morning, 5g evening",Powder,Universal deficit,Comprises 33% collagen; body deficit 10g/day; improves synthesis 200%,Not quantified,All genotypes,Lysine + Proline + Vitamin C,None major,$,Easy,Cell culture studies (de Paz-Lugo 2018),All languages,8/8
Lysine,nutrition,amino acid,A,1000-2000 mg daily,Between meals on empty stomach,Powder or capsules,Universal,Essential substrate for hydroxylysine; critical for crosslinking,Not quantified,All genotypes,Vitamin C + Proline + Glycine,Competes with food protein; take away from meals,$,Easy,Biochemical requirement studies,All languages,8/8
