supplement_name,dosage,timing,form,genetic_variant,mechanism,citation,language,evidence_grade
Hydroxocobalamin B12,1000 mcg IM weekly,"Weekly injection, then monthly maintenance",Injectable,"TCN2 homozygous, MTHFR compound heterozygous","B12 reservoir with longest circulation; converts to both methylcobalamin and adenosylcobalamin; bypasses TCN2 transport defect","TCN2 deficiency case reports, French/German clinical protocols",Chinese/French/German,Strong (B)
Methylcobalamin B12,1000-2000 mcg daily,Sublingual daily,Sublingual,"TCN2 homozygous, MTHFR compound heterozygous",Active B12 form for methionine synthase in methylation cycle; remethylates homocysteine to methionine,Korean/Portuguese/Japanese medical protocols,All languages,Strong (B)
Adenosylcobalamin B12,1000-3000 mcg daily,Sublingual daily,Sublingual,"TCN2 homozygous, PPARGC1A",Mitochondrial form of B12; supports ATP production in mitochondria,Chinese/Korean protocols,Chinese/Korean,Moderate (C)
Methylfolate (5-MTHF),800-2000 mcg daily,Morning with food,L-5-MTHF or Quatrefolic,"MTHFR C677T/A1298C compound heterozygous",Bypasses MTHFR enzyme completely; provides bioavailable folate for methylation; reduces MMP-2 overexpression,"Tulane 2024 study (85% hEDS have MTHFR), J-MICC Study",All languages,Strong (A)
Riboflavin (B2),50-100 mg daily,Morning with food,Riboflavin-5-phosphate or standard,MTHFR variants,Cofactor for MTHFR enzyme; reduces homocysteine by 22% in 677TT individuals,German/Chinese clinical studies,All languages,Strong (A)
Pyridoxal-5-Phosphate (P5P),25-100 mg daily,Morning or split doses,P5P (active B6),"NBPF3 heterozygous (increased B6 clearance), MTHFR",Cofactor for transsulfuration pathway (homocysteine → cysteine); supports collagen disulfide bonds,French/Portuguese protocols,All languages,Moderate (B)
Betaine/TMG,500-1500 mg daily,Morning or split doses,Trimethylglycine,"MTHFR, TCN2, PEMT",Alternative methyl donor; remethylates homocysteine directly via BHMT pathway (bypasses MTHFR),All medical sources,All languages,Strong (A)
Choline,400-1000 mg daily,Morning or evening,"CDP-choline, Alpha-GPC, or Choline Bitartrate","PEMT variants (C744G, M175V), MTHFD1",Produces betaine for methylation; acetylcholine synthesis for autonomic function (POTS),"Tokyo University 2023, Korean/Portuguese research",Multiple,Moderate (B)
Vitamin C,500-2000 mg daily,Split doses with meals (avoid >2000 mg with GPX1),Ascorbic acid or liposomal,GPX1 homozygous (dose caution),Essential cofactor for prolyl hydroxylase and lysyl hydroxylase; hydroxylates proline/lysine in collagen,"Dembure 1987 EDS Type VI, Multiple RCTs",All languages,Very Strong (A)
Glycine,5-10 g daily,"Morning (5g), evening before bed (5g)",Powder,All genotypes (universal deficit),"Comprises 33% of collagen (every 3rd amino acid); body deficit ~10g/day; improves collagen synthesis 200%",Cell culture studies (de Paz-Lugo 2018),All languages,Strong (A)
Lysine,1000-2000 mg daily,Between meals on empty stomach,Powder or capsules,All genotypes,Essential substrate for hydroxylysine; critical for collagen crosslinking sites,Biochemical requirement studies,All languages,Strong (A)
Proline,500-1500 mg daily,Between meals,Powder or capsules,All genotypes,"Comprises 17% of collagen; converted to hydroxyproline; stabilizes triple helix","Cell culture studies, theoretical",All languages,Moderate (B)
Copper,1-3 mg daily,Evening with food (separate from zinc),Copper glycinate or gluconate,All genotypes,Essential cofactor for lysyl oxidase enzyme; catalyzes crosslink formation between collagen fibers,"Animal studies, low copper associated with hypermobile CTD",All languages,Strong (A)
Zinc,15-30 mg daily,Midday with food,Zinc picolinate or glycinate,All genotypes,Cofactor for 300+ enzymes including collagen synthesis; supports protein synthesis,Korean/Japanese/Portuguese protocols,All languages,Strong (A)
Selenium,100-200 mcg daily,Morning with food,Selenomethionine or Brazil nuts (1-2 daily),GPX1 homozygous,Essential cofactor for glutathione peroxidase enzyme; GPX1 variants require higher selenium for enzyme activity,"Norwegian study, Danish intervention, Korean research",All languages,Very Strong (A)
N-Acetylcysteine (NAC),600-1800 mg daily,Split doses (600mg 2-3x daily) away from meals,NAC powder or capsules,GPX1 homozygous,Precursor to glutathione synthesis (rate-limiting cysteine); direct antioxidant effects,"Meta-analysis 46 RCTs, Korean/Brazilian clinical protocols",All languages,Very Strong (A)
Glutathione,100-200 mg daily,Sublingual (hold 30 sec),Liposomal glutathione,GPX1 homozygous,Direct antioxidant; 13x better bioavailability than standard glutathione; increases intracellular GSH,Brazilian/Portuguese HIV studies,Portuguese/Spanish,Moderate (B)
Alpha-Lipoic Acid,300-600 mg daily,Evening with meal,R-Alpha-lipoic acid,GPX1 homozygous,Activates Nrf2 pathway; induces glutathione synthesis; regenerates vitamins C/E/glutathione,"German research, Brazilian COVID-19 studies",German/Portuguese,Strong (B)
Vitamin E,400 IU daily,Morning with fat-containing meal,Mixed tocopherols,GPX1 homozygous,Membrane lipid protection; synergistic with vitamin C and glutathione,Standard antioxidant research,All languages,Moderate (B)
Omega-3 (EPA+DHA),2000-4000 mg daily,Split doses with meals (1000-2000mg 2x daily),Fish oil or algae oil (2:1 or 1:1 EPA:DHA ratio),IL-6 homozygous,"Inhibits NF-κB activation; reduces IL-6 transcription; produces specialized pro-resolving mediators (resolvins, protectins)","Korean functional medicine (Miracle Center), Type 2 diabetes study showing GG carriers respond better",All languages,Very Strong (A)
Curcumin,500-2000 mg daily,With meals (fat-soluble),Enhanced bioavailability forms (phytosome 29x or with piperine 20x),"IL-6 homozygous, TNF-α","Inhibits IKK → reduces NF-κB → decreases IL-6/TNF-α transcription; meta-analysis shows IL-6 reduction","Meta-analyses, Korean 2024 study, Japanese/Chinese research",All languages,Strong (A)
Vitamin D3,2000-10000 IU daily,Morning with fat-containing meal,Cholecalciferol,VDR-FokI homozygous (ff genotype),"VDR receptors in fibroblasts/connective tissue; ff genotype requires 2-3x higher doses; regulates collagen gene expression","Meta-analyses (Nutrients 2022), Korean Bone/Mineral Research 2006",All languages,Strong (A)
